artists,count
Francisco Canaro,3179
Tadeusz Dolega Mostowicz,2562
Эрнест Хемингуэй,2350
Эрих Мария Ремарк,2124
Frank Sinatra,1435
Ignacio Corsini,1248
Vladimir Horowitz,1202
Arturo Toscanini,1156
Wiener Philharmoniker,1117
Billie Holiday,1086
New York Philharmonic,1035
Frédéric Chopin,1013
Johnny Cash,1007
Elvis Presley,1003
Johann Sebastian Bach,959
Ella Fitzgerald,951
Bob Dylan,929
Miles Davis,925
Charlo,919
Wolfgang Amadeus Mozart,917
The Rolling Stones,911
Ludwig van Beethoven,903
Fleetwood Mac,902
The Beach Boys,880
Lata Mangeshkar,873
The Beatles,827
Dean Martin,821
Queen,788
Glenn Gould,762
Irina Salkow,756
Columbia Symphony Orchestra,740
Igor Stravinsky,738
Georgette Heyer,690
Lead Belly,677
Led Zeppelin,652
David Bowie,650
Brigitte Carlsen,624
Giuseppe Verdi,612
Armin van Buuren,596
Arthur Rubinstein,590
Jascha Heifetz,584
Mohammed Rafi,571
Count Basie,554
Duke Ellington,541
Bob Marley & The Wailers,536
Louis Armstrong,533
Philadelphia Orchestra,532
William Kapell,529
Oscar Peterson,527
Pink Floyd,526
Shamshad Begum,517
Vicente Fernández,513
Willie Nelson,509
London Symphony Orchestra,508
Umm Kulthum,508
John Coltrane,506
Elton John,504
Leonard Bernstein,497
Nina Simone,494
Thelonious Monk,485
Isaac Stern,483
Orchestra Studio 7,476
Grateful Dead,471
Stevie Wonder,469
Claudio Arrau,466
The Who,462
Ernesto Fama,456
Teddy Wilson,455
Marvin Gaye,444
Taylor Swift,443
Billy Joel,432
Doris Day,430
Metallica,430
Frank Arnold,424
Nat King Cole,422
Geeta Dutt,420
H.P. Lovecraft,420
U2,420
Unspecified,420
Aretha Franklin,414
Workout Music ,406
Sam Cooke,400
Drake,391
The Kinks,388
Eugene Ormandy,384
Asha Bhosle,380
Giacomo Puccini,379
Charles Mingus,377
Javier Solís,377
The Cure,376
Waylon Jennings,375
Bee Gees,372
John Williams,371
KISS,368
Gerry & The Pacemakers,366
R.E.M.,364
Sarah Vaughan,356
Eminem,355
Nirvana,352
Talking Heads,349
Dolly Parton,348
Fritz Reiner,344
Genesis,344
Roberto Maida,342
Michael Jackson,341
Трумен Капоте,338
Bill Evans Trio,337
Red Hot Chili Peppers,336
Peggy Lee,332
Roy Orbison,331
Claude Debussy,329
George Strait,327
Eric Clapton,325
Van Morrison,325
Bruno Walter,321
Herbert von Karajan,320
Philharmonia Orchestra,317
Bing Crosby,314
Bruce Springsteen,313
Eagles,312
Robert Casadesus,310
Judy Garland,309
Johannes Brahms,308
Otis Redding,306
Chet Baker,305
The Shadows,304
Bill Evans,303
Marty Robbins,303
Chuck Turner,302
Neil Diamond,300
TandMTV,300
Cleveland Orchestra,299
Roza Eskenazi,299
Rush,297
Ramones,296
Stan Getz,294
Giorgos Papasideris,293
AC/DC,290
Percy Faith & His Orchestra,286
Staatskapelle Dresden,286
Benny Goodman,284
ABBA,282
The Moody Blues,281
Carpenters,280
Jackie Gleason,280
Pierre Monteux,280
Sonny Rollins,279
Henry Mancini,278
Neil Young,276
James Taylor,275
Orchestra Sinfonica di Roma della RAI,275
Juan Gabriel,271
Sergei Rachmaninoff,271
Julie London,270
Los Tigres Del Norte,269
Mukesh,269
Richard Wagner,269
Arthur Conan Doyle,268
Bad Company,266
Kanye West,262
JAY-Z,260
Rudolf Serkin,260
Wings,258
2Pac,257
Amirbai Karnataki,257
MGM Studio Orchestra,257
Pro Arte Quartet,256
Karl Böhm,254
Jimmy Buffett,252
Depeche Mode,251
Electric Light Orchestra,250
"Orchestra Del Teatro Alla Scala, Milano",250
Stefan Kaminski,250
John Denver,248
Judas Priest,248
Mahalia Jackson,248
Dizzy Gillespie,247
Robert Schumann,247
George Frideric Handel,246
George Jones,246
The Clash,246
Rita Ampatzi,245
Lil Wayne,244
The Cars,244
Journey,243
James Brown,242
Johann Strauss II,242
Oscar Levant,241
Black Sabbath,240
Joni Mitchell,240
Los Bukis,238
Creedence Clearwater Revival,237
Daddy Yankee,236
Johnny Mathis,236
Tom Waits,236
Andrés Segovia,235
Andy Williams,234
B.B. King,234
The Temptations,233
The Byrds,232
The Smiths,232
Aerosmith,230
Allman Brothers Band,230
Carmen Miranda,230
Chuck Berry,230
The Doors,229
Robin Trower,228
"Hank Williams, Jr.",227
Bob Seger,226
Antônio Carlos Jobim,225
Green Day,225
Mariah Carey,225
Van Halen,224
Rajkumari,223
Oscar Peterson Trio,221
Barbra Streisand,220
Stevie Ray Vaughan,220
Raffi,219
The Dave Brubeck Quartet,219
Brian Eno,218
Chicago,218
Joan Sebastian,218
Ray Conniff,218
Ten Years After,218
Lefty Frizzell,217
Alan Jackson,215
Tom Petty and the Heartbreakers,215
Prince,214
Pyotr Ilyich Tchaikovsky,214
Santana,213
Christoph Waltz,212
Luis Miguel,212
Sinclair Lewis,212
Dinah Washington,211
Simon & Garfunkel,210
Sublime,210
The Isley Brothers,210
Don Omar,209
Yes,208
ZZ Top,208
Phil Collins,206
J Balvin,205
Iron Maiden,204
Emmylou Harris,203
Alabama,202
Jimi Hendrix,202
Madonna,202
Townes Van Zandt,202
José Alfredo Jimenez,201
Charlie Parker,200
George Harrison,200
Charlie Chaplin,199
Linda Ronstadt,199
Ray Charles,199
Adam Gardner,198
Erroll Garner,198
Franz Schubert,198
Antonio Aguilar,197
Louis Armstrong & His Hot Five,196
The Notorious B.I.G.,196
Charttraxx Karaoke,195
Frank Zappa,195
Hemant Kumar,195
Paul Simon,194
Paul Weston And His Orchestra,194
Wes Montgomery,194
La Sonora Matancera,192
Merle Haggard,192
Supertramp,192
Suraiya,192
The Everly Brothers,192
Zofia Dromlewiczowa,192
Erik Satie,191
Daryl Hall & John Oates,190
Dave Brubeck,190
Maria Callas,190
Steely Dan,190
Harry Belafonte,189
Ennio Morricone,188
Sonny Boy Williamson I,188
"Earth, Wind & Fire",187
Def Leppard,186
John Prine,186
Markos Vamvakaris,185
Eduard van Beinum,184
Paul Carrack,184
The Ventures,184
Franz Joseph Haydn,183
Beastie Boys,182
Bread,182
Hollywood Session Group,182
Los Temerarios,182
Muddy Waters,182
George Szell,180
Gordon Lightfoot,180
Kate Bush,180
Wilhelm Furtwängler,179
Herb Alpert & The Tijuana Brass,178
Lynyrd Skynyrd,178
One Direction,178
The Beta Band,178
Tony Bennett,177
Bad Bunny,176
Nine Inch Nails,176
Richard Tucker,176
The Monkees,176
John Lennon,175
Morgan Wallen,175
Julio Iglesias,173
Mina,173
The Velvet Underground,173
Maryla Jonas,172
The Weeknd,172
Richard Strauss,171
Thin Lizzy,171
Donovan,170
Yo-Yo Ma,170
Rod Stewart,169
Eugene Istomin,168
Frankie Valli & The Four Seasons,168
Jethro Tull,168
Misfits,167
Bill Withers,166
Hot Tuna,166
MF DOOM,166
The Doobie Brothers,166
The Platters,166
André Previn,165
Herbie Hancock,165
Joe Hisaishi,165
Linkin Park,165
Quincy Jones,165
blink-182,165
Ariana Grande,164
Berliner Philharmoniker,164
The Animals,164
Kishore Kumar,163
Little Feat,163
Mac Miller,163
Carlos Roldán,162
Janis Joplin,162
Kendrick Lamar,162
Martin Denny,162
Megadeth,162
Miles Davis Quintet,162
New Order,162
Paul McCartney,162
Les Baxter,161
Curtis Mayfield,160
Duran Duran,159
Talat Mahmood,159
La Sonora Santanera,158
Mötley Crüe,158
Selena,158
Various Artists,158
Stellakis Perpiniadis,157
Traditional,157
Bad Religion,156
Juice WRLD,156
The Mothers Of Invention,156
Ernest Ansermet,155
Gene Autry,155
Justin Bieber,155
Vittorio Gui,155
Flatt & Scruggs,154
Kid Cudi,154
Leonard Cohen,154
Vince Guaraldi Trio,154
Anita O'Day,153
Hank Williams,153
Klarino,153
Ricky Nelson,153
Alex Orbison,152
Cocteau Twins,152
Joan Baez,152
Metropolitan Opera Orchestra,152
Seweryn Goszczyński,152
Ahmad Jamal,150
Blondie,150
Guns N' Roses,150
Kenny Rogers,150
Los Panchos,150
Ozzy Osbourne,150
REO Speedwagon,150
Roy Fox,150
Scorpions,150
Slayer,150
Sly & The Family Stone,150
TandMMusic,150
TandMProductionCo,150
The Pogues,149
Alice Cooper,148
Bud Powell,148
Radiohead,148
The Smashing Pumpkins,148
Travis Scott,148
Donna Summer,147
El Gran Combo De Puerto Rico,147
Fred Astaire,147
Budapest String Quartet,146
Fall Out Boy,146
Korn,146
The Jackson 5,146
David Allan Coe,145
G. M. Durrani,145
Rihanna,145
The Band,145
Brenda Lee,144
Héctor Lavoe,144
K.C.Dey,144
Luther Vandross,144
Robert Lortat,144
Sir Malcolm Sargent,144
System Of A Down,144
Yusuf / Cat Stevens,144
Cannonball Adderley,143
Enya,143
Philippe Entremont,143
Al Green,142
Alberto Erede,142
Beyoncé,142
Maurice Ravel,142
Michael Bublé,142
"Peter, Paul and Mary",142
Ray Price,142
The Alan Parsons Project,142
The Kingston Trio,142
Nicki Minaj,141
Outkast,141
Tullio Serafin,141
Alice In Chains,140
Harry Nilsson,140
Kostas Roukounas,140
Pearl Jam,140
Styx,140
The Hollies,140
Concertgebouworkest,139
Agustín Irusta,138
Arthur Lyman,138
John Mayer,138
The Supremes,138
Francis Poulenc,137
Franz Liszt,137
Claudio Villa,136
Whitney Houston,136
Yehudi Menuhin,136
Carlos Gardel,135
Mormon Tabernacle Choir,135
Saxon,135
J. Cole,134
José José,134
Los Invasores De Nuevo León,134
The Mamas & The Papas,134
Bobby Darin,133
Banda El Recodo,132
Dimitris Arapakis,132
Dire Straits,132
Pete Seeger,132
Zohrabai Ambalawali,132
Cal Tjader,131
Celia Cruz,131
Conway Twitty,131
Gustav Mahler,131
Snoop Dogg,131
Stan Kenton,131
A Tribe Called Quest,130
Foreigner,130
Jackson Browne,130
Joy Division,130
Julie Andrews,130
Orchestre Symphonique De Paris,130
Robert Johnson,130
Steve Miller Band,130
Sting,130
Aaron Copland,129
Chris Brown,129
Clifford Brown,129
Ghantasala,129
Glen Campbell,129
Richard Rodgers,129
Carlo Buti,128
Ice Cube,128
Johnny Horton,128
King Crimson,128
Nancy Wilson,128
Astrud Gilberto,127
Cristian Vasile,127
Felix Mendelssohn,127
KAROL G,127
Motörhead,127
Blue Öyster Cult,126
Connie Francis,126
Diana Ross,126
Foo Fighters,126
Future,126
Gerry Mulligan,126
Jefferson Airplane,126
Jerry Lee Lewis,126
Three Dog Night,126
Willie Colón,126
Dale Carnegie,125
Django Reinhardt,125
Johnny Green,125
Les Paul,125
Till Hagen,125
Alfred Cortot,124
Camilo Sesto,124
Deep Purple,124
Fats Waller,124
Lester Young,124
Patsy Cline,124
Rage Against The Machine,124
Ramon Ayala Y Sus Bravos Del Norte,124
Sade,124
Soda Stereo,124
Alexander Scriabin,123
Gaby Casadesus,123
BTS,122
Carmen McRae,122
Panic! At The Disco,122
Tennessee Ernie Ford,122
Kenny Chesney,121
Sam Butera & The Witnesses,121
Bobby Vinton,120
DEVO,120
John Lee Hooker,120
Kenny G,120
Oingo Boingo,120
Pixies,120
Tammy Wynette,120
The Police,120
Yves Montand,120
Lil Uzi Vert,119
Maroon 5,119
Teddy Pendergrass,119
Blossom Dearie,118
Bonnie Raitt,118
Dexter Gordon,118
Kool & The Gang,118
Mel Tormé,118
Pittsburgh Symphony Orchestra,118
Stratos Pagioumtzis,118
Engelbert Humperdinck,117
Noor Jehan,117
Art Pepper,116
Joy/Disaster,116
Kansas,116
Manna Dey,116
Peter Gabriel,116
Reba McEntire,116
Siouxsie and the Banshees,116
Todd Rundgren,116
Alfred Newman,115
Nas,115
Céline Dion,114
Dan Fogelberg,114
Dr. Dre,114
Lana Del Rey,114
Louis Prima,114
Mary J. Blige,114
Orchestra Sinfonica e Coro di Torino della RAI,114
Queensrÿche,114
Roxy Music,114
Soundgarden,114
Burl Ives,113
Chet Atkins,113
Daniel Barenboim,113
Glenn Miller,113
London Philharmonic Orchestra,113
The Replacements,113
Charles Aznavour,112
"Crosby, Stills & Nash",112
Dave Matthews Band,112
Donald Byrd,112
John Eliot Gardiner,112
Marilyn Manson,112
Royal Philharmonic Orchestra,112
The Cramps,112
Tommy Makem,112
50 Cent,111
Barry Manilow,111
Bon Jovi,111
Bryan Adams,111
Chalino Sanchez,111
DMX,111
Factor Chandelier,111
Funkadelic,111
Coldplay,110
Edgar Broughton Band,110
George Winston,110
Janet Jackson,110
Keely Smith,110
Lehman Engel,110
NBC Symphony Orchestra,110
Perry Como,110
The O'Jays,110
Walter Wanderley,110
Willet,110
Bernard Herrmann,109
Serge Gainsbourg,109
Tommy Dorsey,109
Booker T. & the M.G.'s,108
Chaka Khan,108
Clemens Krauss,108
"Crosby, Stills, Nash & Young",108
Fernando Previtali,108
Grupo Laberinto,108
Memphis Slim,108
Ozuna,108
Sammy Davis Jr.,108
The Modern Jazz Quartet,108
Liberación,107
Lou Reed,107
Orchestra Sinfonica Di Torino Della Rai,107
Pablo Casals,107
Riccardo Muti,107
Rocío Dúrcal,107
The Offspring,107
"""Weird Al"" Yankovic",106
Dionne Warwick,106
Ernst H. Gombrich,106
Los Amables Del Norte,106
Marc Anthony,106
N.W.A.,106
Revaluation,106
Agonoize,105
Alvin & The Chipmunks,105
America,105
Bix Beiderbecke,105
Grupo Bryndis,105
Jean Moscopol,105
My Chemical Romance,105
Amy Grant,104
Buddy Holly,104
Buffalo Springfield,104
Casual Breakdown,104
Cheap Trick,104
Crazy Horse,104
Fausto Cleva,104
Jerry Garcia,104
Jim Croce,104
John Barry,104
Little Richard,104
Mannheim Steamroller,104
Sir Neville Marriner,104
Stevie Nicks,104
Surendra,104
Tears For Fears,104
Brooks & Dunn,103
George Benson,103
Gilberto Santa Rosa,103
John Mellencamp,103
Shakira,103
Arctic Monkeys,102
Etta James,102
Faith No More,102
J.J. Cale,102
Khursheed Bano,102
Kris Kristofferson,102
Maná,102
Mario Rossi,102
Mary Ford,102
Pantera,102
Subcut,102
Camille Saint-Saëns,101
Frank Ocean,101
Jimmie Rodgers,101
M. K. Thyagaraja Bhagavathar,101
Albert Schweitzer,100
Antonio Teoli,100
Bert Kaempfert,100
Cliff Bennett & The Rebel Rousers,100
Dion,100
Fernando Pessoa,100
Ivan Kucherenko,100
Joe Cocker,100
John Fahey,100
Lindisfarne,100
Post Malone,100
Randy Travis,100
Sebastian Yatra,100
Smokey Robinson & The Miracles,100
The Marshall Tucker Band,100
Zeenat Begum,100
*NSYNC,99
Modest Mussorgsky,99
The Charlie Daniels Band,99
Breaking Benjamin,98
Heart,98
M. S. Subbulakshmi,98
Modest Mouse,98
Queens of the Stone Age,98
TOOL,98
Tom Lehrer,98
Usher,98
War,98
Charles Münch,97
Earl Scruggs,97
Ed Sheeran,97
Louis Armstrong & His Hot Seven,97
Mario Lanza,97
Nelson Riddle,97
Bo Diddley,96
Four Tops,96
Patti Page,96
Slipknot,96
The Chordettes,96
The Norman Luboff Choir,96
University of North Texas Symphony Orchestra,96
Ween,96
Barry White,95
Donny Hathaway,95
Howlin' Wolf,95
June Carter Cash,95
Odetta,95
The B-52's,95
Wilhelm Kempff,95
Elliott Smith,94
Gladys Knight & The Pips,94
Jack Johnson,94
Loggins & Messina,94
Primus,94
T. Rex,94
Ted Nugent,94
Ted Weems & His Orchestra,94
Twenty One Pilots,94
ANTONIS NTALGKAS,93
Kenny Loggins,93
Orchestra Sinfonica dell'EIAR di Torino,93
Too $hort,93
Academy of St. Martin in the Fields,92
Ahmad Jamal Trio,92
Angelo Kelly,92
Ben Webster,92
Bill Monroe & His Blue Grass Boys,92
Carole King,92
Dead Kennedys,92
Lil Baby,92
Los Caminantes,92
Ludacris,92
Parliament,92
Rosemary Clooney,92
Shania Twain,92
The Raining Blooddrops,92
Vincenzo Bellini,92
XTC,92
Antonio Vivaldi,91
Coleman Hawkins,91
Dwight Yoakam,91
Jorma Kaukonen,91
Rick James,91
Sergei Prokofiev,91
Andrew Lloyd Webber,90
Blake Wexler,90
Chittoor V. Nagaiah,90
George Olsen,90
Mysterious World Music,90
R. Kelly,90
Sonic Youth,90
Stone Temple Pilots,90
The 1937 Flood,90
Tito Puente,90
Wiz Khalifa,90
Daft Punk,89
Erykah Badu,89
Florida Georgia Line,89
TOTO,89
Big Sean,88
Dick Haymes,88
Disturbed,88
Eddie Money,88
Georges Bizet,88
Jerry Reed,88
Jerry Vale,88
MGM Studio Chorus,88
Mary Wells,88
Maurice Chevalier,88
Pat Benatar,88
The Jordanaires,88
The Wonder Years,88
The Yearning,88
Toronto Symphony Orchestra,88
"Tyler, The Creator",88
Chicago Symphony Orchestra,87
Cosmic Gate,87
Lady Gaga,87
Supernova,87
XXXTENTACION,87
i.am.orange,87
Alcoholics Anonymous,86
Banda Machos,86
Ben E. King,86
Bronco,86
Deftones,86
George Gershwin,86
Li Zong,86
Los Tucanes De Tijuana,86
Nico,86
Ricardo Arjona,86
Roy Acuff,86
Sons of the Pioneers,86
The Pennsylvanians,86
Traffic,86
Woody Herman & His Orchestra,86
Bone Thugs-N-Harmony,85
Eddie Heywood,85
George Michael,85
LL Cool J,85
South Park Mexican,85
Young Thug,85
Andrew Rayel,84
Aventura,84
Bad Brains,84
Brenton Wood,84
Bruno Mars,84
Canned Heat,84
Chet Baker Quartet,84
Dr. Hook,84
Harry James,84
Hombres G,84
Joe Walsh,84
Joey Nash,84
Leon Russell,84
Ratt,84
Russ Freeman,84
Sergio Mendes & Brasil '66,84
The J. Geils Band,84
The Philadelphia Brass Ensemble,84
Warren Zevon,84
Weezer,84
Anthrax,83
Boyz II Men,83
Giuseppe Ottaviani,83
James Brown & The Famous Flames,83
Jim Reeves,83
Lawrence Brown,83
Max Roach,83
Staatskapelle Berlin,83
Avenged Sevenfold,82
Cake,82
Eric Church,82
Federico García Lorca,82
Françoise Hardy,82
Jackie Wilson,82
Keith Whitley,82
Lee Morgan,82
Love,82
Playboi Carti,82
Stelios Kazantzidis,82
Stephen Stills,82
Sweet,82
The Staple Singers,82
The Swinging Blue Jeans,82
Victor de Sabata,82
Britney Spears,81
NF,81
Randy Newman,81
3Phazegenerator,80
Alan Menken,80
Asian Tradition Universe,80
Black Flag,80
Carlos Y Jose,80
Gloria Estefan,80
June Christy,80
Leroy Carr,80
Lesley Gore,80
Loretta Lynn,80
Mohammed Abdel Wahab,80
Nancy Sinatra,80
Orchestra Del Teatro Alla Scala Di Milan,80
Safiye Ayla,80
The Louvin Brothers,80
The Meters,80
Twisted Sister,80
Yma Sumac,80
Bobby Womack,79
Cher,79
Frankie Ruiz,79
Gerry Mulligan Quartet,79
Katy Perry,79
Miley Cyrus,79
Nikos Karakostas,79
Ronnie Milsap,79
38 Special,78
Above & Beyond,78
Cuco Sánchez,78
Descendents,78
Dusty Springfield,78
Incubus,78
Jhené Aiko,78
Jonah's Road,78
Margaret Whiting,78
Master Ebrahim,78
Paul Desmond,78
Pellin Rodriguez,78
RCA Victor Symphony Orchestra,78
Robin Williams,78
The Ray Conniff Singers,78
The Stooges,78
Benjamin Schoos,77
Bobby Bare,77
Danny Kaye,77
Grant Green,77
Jerry Jeff Walker,77
Pino Daniele,77
Sassydee,77
The Spinners,77
Tim McGraw,77
Bill Haley & His Comets,76
Brownie McGhee,76
Dr. John,76
Elie Cohen,76
Johnnie Taylor,76
Kamelot,76
Paramore,76
Pat Boone,76
Social Distortion,76
Steppenwolf,76
Suicidal Tendencies,76
Tankard,76
The Cranberries,76
The Guess Who,76
Toby Keith,76
UB40,76
Andrew Davis,75
Art Blakey & The Jazz Messengers,75
Christina Aguilera,75
Cypress Hill,75
Don Williams,75
English Chamber Orchestra,75
Frankie Laine,75
Franz Allers,75
Kenny Burrell,75
Pretenders,75
Richard P. Condie,75
Sitara,75
The Flaming Lips,75
Travis Tritt,75
Wu-Tang Clan,75
311,74
Bert-Åke Varg,74
Billy Idol,74
Billy Vaughn,74
Carlos Galán,74
Dave Van Ronk,74
Francisco Amor,74
Hesen Zîrek,74
Hubert Fol,74
INXS,74
Ismael Rivera,74
Jim Hall,74
Jorge Ben Jor,74
Justin Timberlake,74
Mamlê,74
Mikas,74
Natalino Otto,74
No Doubt,74
Oasis,74
Rainbow,74
Ray Barretto,74
Run–D.M.C.,74
TON Jayy,74
The Andrews Sisters,74
The Chicks,74
The Dandy Warhols,74
The Impressions,74
The Lovin' Spoonful,74
The Yardbirds,74
